device_serial,start_date,end_date,duration_time,duration_day,min_temp,max_temp,mean_temp,std_temp,min_humi,max_humi,mean_humi,std_humi,min_acc,max_acc,mean_acc,std_acc,q1_temp,q3_temp,temp_start,temp_end,q1_humi,q3_humi,humi_start,humi_end,q1_acc,q3_acc,acc_start,acc_end,item_shock,alert_temp_sum,alert_humi_sum,alert_acc_sum,broken_yn
VC6M602B,2024-12-07 17:20:27,2024-12-10 16:40:27,71.33,2.00,-4.60,8.80,1.57,12.46,48.00,61.00,55.27,3.07,1.00,1.41,1.02,0.04,-1.60,4.30,-10.45,13.15,53.00,58.00,45.50,65.50,1.01,1.02,1.00,1.04,0,0,0,12,0
VC6M602B,2024-12-07 17:20:27,2024-12-10 16:40:27,71.33,2.00,-4.60,8.80,1.57,12.46,48.00,61.00,55.27,3.07,1.00,1.41,1.02,0.04,-1.60,4.30,-10.45,13.15,53.00,58.00,45.50,65.50,1.01,1.02,1.00,1.04,0,0,0,12,0
VC6M602C,2024-12-02 13:27:12,2024-12-03 13:17:12,23.83,0.00,1.20,15.10,6.80,14.82,58.00,69.00,63.57,2.01,0.93,1.64,0.97,0.09,3.65,10.15,-6.10,19.90,62.00,65.00,57.50,69.50,0.94,0.99,0.86,1.06,0,0,0,8,1
VC6M602C,2024-12-02 13:27:12,2024-12-03 13:17:12,23.83,0.00,1.20,15.10,6.80,14.82,58.00,69.00,63.57,2.01,0.93,1.64,0.97,0.09,3.65,10.15,-6.10,19.90,62.00,65.00,57.50,69.50,0.94,0.99,0.86,1.06,1,0,0,8,1
VC6M602C,2024-12-02 13:27:12,2024-12-03 13:17:12,23.83,0.00,1.20,15.10,6.80,14.82,58.00,69.00,63.57,2.01,0.93,1.64,0.97,0.09,3.65,10.15,-6.10,19.90,62.00,65.00,57.50,69.50,0.94,0.99,0.86,1.06,1,0,0,8,1
VC6M602C,2024-12-02 13:27:12,2024-12-03 13:17:12,23.83,0.00,1.20,15.10,6.80,14.82,58.00,69.00,63.57,2.01,0.93,1.64,0.97,0.09,3.65,10.15,-6.10,19.90,62.00,65.00,57.50,69.50,0.94,0.99,0.86,1.06,0,0,0,8,1
VC6M602D,2024-12-10 02:18:11,2024-12-11 11:18:11,33.00,1.00,0.80,12.00,10.30,4.78,49.00,63.00,50.13,2.77,1.00,1.31,1.10,0.04,9.80,11.53,7.21,14.11,49.00,50.00,47.50,51.50,1.10,1.10,1.10,1.10,0,5,5,14,0
VC6M602D,2024-12-10 02:18:11,2024-12-11 11:18:11,33.00,1.00,0.80,12.00,10.30,4.78,49.00,63.00,50.13,2.77,1.00,1.31,1.10,0.04,9.80,11.53,7.21,14.11,49.00,50.00,47.50,51.50,1.10,1.10,1.10,1.10,0,5,5,14,0
VC6M602E,2024-12-11 02:14:37,2024-12-13 11:04:37,56.83,2.00,1.70,9.50,8.43,3.10,44.00,68.00,46.59,4.35,1.10,1.20,1.11,0.03,8.30,9.40,6.65,11.05,45.00,46.00,43.50,47.50,1.10,1.10,1.10,1.10,0,6,6,10,0
VC6M602E,2024-12-11 02:14:37,2024-12-13 11:04:37,56.83,2.00,1.70,9.50,8.43,3.10,44.00,68.00,46.59,4.35,1.10,1.20,1.11,0.03,8.30,9.40,6.65,11.05,45.00,46.00,43.50,47.50,1.10,1.10,1.10,1.10,0,6,6,10,0
